Freiwillige Feuerwehren Bremen		
FF Bremen-Mahndorf	Mahndorfer Bahnhof 4	28307 Bremen
Florian Bremen 21/19-01	MTF	
Florian Bremen 21/44-01	LF 10	1.200l
Florian Bremen 21/44-02	LF 16/12	1.600l
Florian Bremen 21/49-01	FwA-TS	
Florian Bremen 21/49-02	FwA-SW 50 S	
		
FF Bremen-Osterholz	Osterholzer Möhlendamm 21	28325 Bremen
Florian Bremen 22/19-01	MTF	
Florian Bremen 22/44-01	LF 10/6	1.000l
Florian Bremen 22/44-02	LF KatS	1.000l
Florian Bremen 22/73-01	FwA- So	
Florian Bremen 22/88-01	FwA-RTB	
		
FF Bremen-Oberneuland	Mühlenfeldstraße 16	28335 Bremen
Florian Bremen 23/19-01	MTF	
Florian Bremen 23/44-01	LF 16/16	
Florian Bremen 23/44-02	LF-KatS	
Florian Bremen 23/59-01	GW-Kom	
Florian Bremen 23/49-01	FwA-TS	
Florian Bremen 23/73-01	FwA-FKH	
Florian Bremen 23/73-02	FwA-Hochwasser	
Florian Bremen 23/73-03	FwA-Licht	
		
FF Bremen-Timmersloh	Timmersloher Landstraße 15	28357 Bremen
Florian Bremen 24/24-01	TLF 20/40	
Florian Bremen 24/44-01	LF 10/6 St.	
		
FF Bremen-Borgfeld	Hamhofsweg 30	28357 Bremen
Florian Bremen 25/44-01	LF 8/6	
		
FF Bremen-Lehesterdeich	Am Lehester Deich 143	28357 Bremen
Florian Bremen 26/12-01	ELW 2	
Florian Bremen 26/19-01	MTF	
Florian Bremen 26/19-02	MTF	
Florian Bremen 26/43-01	HLF 16/16	
Florian Bremen 26/44-01	LF 16/16	
Florian Bremen 26/44-02	LF KatS	
Florian Bremen 26/65-01	WLF	
Florian Bremen 26/69-01	AB-Sand	
Florian Bremen 26/69-08	AB Kraftstoff	
Florian Bremen 26/69-23	AB-WF	Hytrans-Schlauch
Florian Bremen 26/49-01	FwA-SWW	
Florian Bremen 26/73-01	FwA-So 1	
Florian Bremen 26/73-01	FwA-So 2	Kühl
Florian Bremen 26/88-01	FwA-RTB	
		
FF Bremen-Arsten	In der Laake 17	28279 Bremen
Florian Bremen 41/19-1	MTF	
Florian Bremen 41/44-1	LF 10	1.200l
Florian Bremen 41/44-2	LF 10/6	1.000l
Florian Bremen 41/88-1	RTB	
		
FF Bremen-Neustadt	Seesenthom 4	28201 Bremen
Florian Bremen 42/14-01	ABC-MessKw	
Florian Bremen 42/14-02	ABC-MessKw	
Florian Bremen 42/19-01	MTF	
Florian Bremen 42/19-02	MTF	Medizinische Task Force
Florian Bremen 42/24-01	TLF 24/50	
Florian Bremen 42/43-01	HLF 16/16	
Florian Bremen 42/44-01	LF 16/16	
Florian Bremen 42/44-02	LF-KatS	
Florian Bremen 42/49-01	FwA-TS	
Florian Bremen 42/57-01	LKW-Dekon-P	
Florian Bremen 42/59-01	GW-Versorgung	
Florian Bremen 42/59-03	FwA-Versorgung 1	
Florian Bremen 42/59-04	FwA-Geschirrmobil	
Florian Bremen 42/65-01	WLF	
Florian Bremen 42/69-05	AB-Dekon-F	
Florian Bremen 42/69-09	AB-Betreuung	
Florian Bremen 42/69-13	AB-Schlauch	
Florian Bremen 42/69-15	AB-Schaum	
Florian Bremen 42/69-29	Schubmaststapler	
Florian Bremen 42/72-01	KdoW a.d.?	
Florian Bremen 42/73-01	FwA-FKH	
Florian Bremen 42/73-04	FwA-So	
Florian Bremen 42/73-05	BSE/BSDA	
Florian Bremen 42/74-01	LKW	
Florian Bremen 42/88-01	RTB	
		
FF Bremen-Huchting	Obervielander Straße 26	28259 Bremen
Florian Bremen 43/19-01	MTF	
Florian Bremen 43/44-01	LF 10/6	1.000l
Florian Bremen 43/44-02	LF KatS	
Florian Bremen 43/49-01	FwA- TS	
Florian Bremen 43/52-01	RW 2	
Florian Bremen 43/73-01	FwA- So	
Florian Bremen 43/88-01	FwA- RTB	
		
FF Bremen-Strom	Stromer Landstraße 20	28197 Bremen
Florian Bremen 44/44-1	LF 10/6	1.000l
Florian Bremen 44/45-1	LF 16 TS	
		
FF Bremen-Seehausen	Hasenbürener Landstraße 65	28197 Bremen
Florian Bremen 45/19-01	MTF	
Florian Bremen 45/44-01	LF 10	1.200l
Florian Bremen 45/44-02	LF 8/6	1.100l
Florian Bremen 45/88-01	FwA-RTB	
Florian Bremen 45/99-01	First Responder	
	FwA-JF	
		
FF Bremen Blockland	Niederblockland 32a	28357 Bremen
Florian Bremen 51/19-01	MTF	
Florian Bremen 51/44-01	LF 10/6 St.	
Florian Bremen 51/45-01	LF 16 TS	
Florian Bremen 51/88-01	FwA- RTB	
		
FF Bremen-Grambkermoor	Am Burger See 14c	28719 Bremen
		soll zu FF-West fusioniert werden
Florian Bremen 52/44-01	LF 10	
Florian Bremen 52/44-02	LF 8/6	
Florian Bremen 52/49-01	FwA-SWW	
		
FF Bremen-Lesumbrok	Lesumbroker Landstrae 152	28719 Bremen
		soll zu FF-West fusioniert werden
Florian Bremen 53/44-01	LF 16/12	
Florian Bremen 53/59-01	GW-SAN	
Florian Bremen 53/59-02	GW V	
Florian Bremen 53/73-01	FwA-FKH	
		
FF Bremen Burgdamm	Burgdammer Ring 68	28717 Bremen
		soll zu FF-West fusioniert werden
Florian Bremen 61/19-01	MTF	
Florian Bremen 61/44-01	LF 10	1.200l
Florian Bremen 61/44-02	LF 10/6	
Florian Bremen 61/88-01	FwA-RTB	
Florian Bremen 61/73-01	FwA- So	
		
FF Bremen-Schönebeck	Auf dem Krümpel 1	28757 Bremen
Florian Bremen 63/12-01	ELW 2	
Florian Bremen 63/19-01	MTF	
Florian Bremen 63/44-01	(H)LF 16/16	
Florian Bremen 63/44-02	LF KatS	
Florian Bremen 63/44-03	LF 16/16	
Florian Bremen 06/73-01	FwA-So 6/1	Dixi
Florian Bremen 06/73-02	FwA-So 6/2	
Florian Bremen 06/49-01	TSA	
		
FF Bremen Vegesack	Weserstraße 33	28755 Bremen
Florian Bremen 64/19-01	MTF	
Florian Bremen 64/44-01	LF 10	1.200l
Florian Bremen 64/44-02	LF-KatS	1.000l
Florian Bremen 64/73-01	FwA-So	
Florian Bremen 64/73-02	FwA-Hochwasserschutz	
		
FF Bremen Blumenthal	Heidbleek 8	28779 Bremen
Florian Bremen 65/14-01	ABC-MessKw	
Florian Bremen 65/19-01	MTF	
Florian Bremen 65/19-02	MTF	
Florian Bremen 65/24-01	TLF 20/40	
Florian Bremen 65/43-01	HLF 16/16	
Florian Bremen 65/44-01	LF KatS	
Florian Bremen 65/57-01	LKW Dekon-P	
Florian Bremen 65/73-01	FwA- FKH	
außerdem RTW des DRK:		 
Florian Bremen 97/83-01	RTW	
		
FF Bremen Farge	Farger Straße 134	28777 Bremen
Florian Bremen 66/19-01	MTF	
Florian Bremen 66/44-01	LF 10/6	1.000l
Florian Bremen 66/45-01	LF 16-TS	
Florian Bremen 66/49-01	FwA-SWW	
Florian Bremen 66/88-01	FwA-RTB	
Florian Bremen 66/73-01	FwA-MZ	
Florian Bremen 66/99-01	First Responder	