Rettungsdienst Bremerhaven		
		
Florian Bremerhaven 01/82-01	NEF	24 h
Florian Bremerhaven 01/82-02	NEF	24 h
Florian Bremerhaven 01/82-03	NEF	Reserve
		
Florian Bremerhaven 01/83-01	RTW	
Florian Bremerhaven 01/83-02	RTW	
Florian Bremerhaven 01/83-03	RTW	
Florian Bremerhaven 01/83-04	RTW	
Florian Bremerhaven 01/83-05	RTW	
Florian Bremerhaven 01/83-06	RTW	
		
Florian Bremerhaven 01/84-01	RTW	
Florian Bremerhaven 01/84-02	RTW	
Florian Bremerhaven 01/84-03	RTW	
Florian Bremerhaven 01/84-04	RTW	
Florian Bremerhaven 01/84-05	RTW	
		
	AB-Rettung	MANV
		
Außerdem stehen folgende Fahrzeuge der HIORG an der Wache:		
Akkon Bremerhaven 50/94-01	KTW-4	
Akkon Bremerhaven 50/96-01	GW SAN	
Johannes Bremerhaven 60/94-01	KTW-4	
Johannes Bremerhaven 60/74-01	BetrLKW	
		
JUH OV Bremerhaven	Altonaer Straße 11a	27570 Bremerhaven
Akkon Bremerhaven 50/11/1	ELW	
Akkon Bremerhaven 50/17/1	MTF	
Akkon Bremerhaven 50/85/1	RTW	
Akkon Bremerhaven 50/85/2	RTW	
Akkon Bremerhaven 50/94/1	KTW 4	Steht bei der BF
Akkon Bremerhaven 50/96/1	GW-SAN	Steht bei der BF
		
DRK KV Bremerhaven	Am Parkbahnhof 11	27570 Bremerhaven
Rotkreuz Bremerhaven 45/10-1	KdoW	
Rotkreuz Bremerhaven 45/10-2	KdoW	
Rotkreuz Bremerhaven 45/10-3	KdoW/MZF	
Rotkreuz Bremerhaven 45/17-1	MTW	
Rotkreuz Bremerhaven 45/17-2	MTW	
Rotkreuz Bremerhaven 45/85-1	RTW	
Rotkreuz Bremerhaven 45/85-2	RTW	
Rotkreuz Bremerhaven 45/92-1	KTW	
Rotkreuz Bremerhaven 45/92-2	KTW	
Rotkreuz Bremerhaven 45/92-3	KTW	
		
DLRG Bezirk Bremerhaven	Deichstraße 29	27568 Bremerhaven
Pelikan Bremerhaven 77/57/1	MTF 2	Ford Transit 'Jumbo'
Pelikan Bremerhaven 77/58/1	MTF 3	Ford Transit
Pelikan Bremerhaven 77/57/1	GW-Wasser	Taucherbus
Pelikan Bremerhaven 77/59/1	GW-Technik	Unimog mit Ladekran
Pelikan Bremerhaven 77/63/1	MTF 1	VW Transporter mit Ladefläche
		
Pelikan Bremerhaven 77/78/1	Kompassrose	
Pelikan Bremerhaven 77/78/2	Karl Wiest	
Pelikan Bremerhaven 77/78/3	Seefalke	
Pelikan Bremerhaven 77/78/4	Seeigel	
Pelikan Bremerhaven 77/78/5	Seeteufel	
Pelikan Bremerhaven 77/78/6	Nivea 6	
Pelikan Bremerhaven 77/78/?	Nivea 141	
Pelikan Bremerhaven 77/78/41-1	Morgenstern	
Pelikan Bremerhaven 77/78/?	Seerose	