Übersicht Freiwillige Feuerwehren Hamburg		
Aktuelle Informationen immer unter 	https://www.feuerwehr-hamburg.de/fahrzeug/	
Ein LF-KatS (Bund) hat 9 Plätze und nur 1000l Wasser	entspricht also am ehesten einem LF 10 im Spiel	
Ein LF-KatS (HH) hat 9 Plätze und 1600l Wasser und 	ist damit im Spiel ein LF 20/16	
Die meisten LF 16/12 erfüllen die Anforderungen eines LF 20/16		
Aktuell in Beschaffung sind 9 HLF niedrige Bauart	Lieferung bis 2022	
		
Landesbereichsführer LBF		
Landesbereichsführer	Kdow	Mercedes-Benz C-Klasse
Stabsleiter F 01 (LBFV)		
Landesbereichsführervertreter	Kdow	VW Passat
Stabsleiter F 02 (LBFV)		
Landesbereichsführervertreter West	Kdow	VW Passat
Stabsleiter F 03 (LBFV)		
Landesbereichsführervertreter Ost/Nord	Kdow	Scoda Superb
Stabsleiter F 05 (LBFV)		
Landesbereichsführervertreter	Kdow	VW Passat
		
Bereichsführer Altona (F192)		
Florian Hamburg Bereichsführer Altona	Kdow	Opel Astra
F 1921 FF- Rissen	Rissener Landstr. 254	22559 Hamburg
Florian Hamburg Rissen 1	LF 16/12	
Florian Hamburg Rissen 2	LF-KatS (HH)	
Florian Hamburg Rissen RW	RW 1	
Florian Hamburg Rissen KB	KLB Typ 1	
F 1922 FF- Blankenese	Blankeneser Landstraße 41	22587 Hamburg
Florian Hamburg Blankenese 1	HLF 20	
Florian Hamburg Blankenese 2	LF-KatS (Bund)	
Florian Hamburg Blankenese ErkW	CBRN-ErkW	
F 1923 FF- Nienstedten	Georg-Bonne-Straße 92	22609 Hamburg
Florian Hamburg Nienstedten 1	LF 16/12	
Florian Hamburg Nienstedten 2	LF-Kats (HH)	
Florian Hamburg Nienstedten KLB	KLB Typ 1	
F 1924 FF- Osdorf	Blomkamp 11	22549 Hamburg 
Florian Hamburg Osdorf 1	HLF 20 n.B.	neues HLF n.b. seit 04/2021
Florian Hamburg Osdorf 2	LF-KatS (HH) niedrige Bauart	
Florian Hamburg Osdorf GW-RD (a.D.)		seit 09/19 wieder bei der BF als 14 GW-BHP
F 1925 FF- Groß Flottbek	Baron-Voght-Str. 183	22607 Hamburg
Florian Hamburg Groß Flottbek 1	HLF n.B.	neues HLF n.b. seit 04/2021
Florian Hamburg Groß Flottbek 2	LF-KatS (HH) niedrige Bauart	
F 1926 FF- Lurup	Stückweg 4	22547 Hamburg
Florian Hamburg Lurup 1	LF 16/12	
Florian Hamburg Lurup 2	LF-Kats (Bund)	
F 1927 FF- Sülldorf- Iserbrook	Sülldorfer Kirchenweg 235	22589 Hamburg
Florian Hamburg Sülldorf-Iserbrook 1	HLF 20	
Florian Hamburg Sülldorf-Iserbrook 2	LF-KatS (Bund)	
F 1928 FF- Altona	Eifflerstr. 29	22769 Hamburg
Florian Hamburg Altona 1	LF 16/12	
Florian Hamburg Altona 2	LF-KatS (HH)	
Florian Hamburg Altona GW-FM	GW-FM	
F 1929 FF- Ottensen- Bahrenfeld	Friesenweg 5d	22763 Hamburg
Florian Hamburg Ottensen-Bahrenfeld 1	LF 16/12	
Florian Hamburg Ottensen-Bahrenfeld 2	LF-Kats (HH)	
Florian Hamburg Ottensen-Bahrenfeld GW-Vers	GW-Vers	
Florian Hamburg Ottensen-Bahrenfeld FwA-Fkh	FwA-Fkh	
		
Bereichsführer Eimsbüttel (F193)		
Florian Hamburg Bereichsführer Eimsbüttel	Kdow	Skoda Octavia
F 1931 FF- Stellingen	Melanchthonstraße 10	22525 Hamburg
Florian Hamburg Stellingen 1	HLF 20	
Florian Hamburg Stellingen 2	LF-Kats (HH)	
Florian Hamburg Stellingen SM	ErkKw	
F 1932 FF- Eidelstedt	Furtweg 57	22523 Hamburg
Florian Hamburg Eidelstedt 1	HLF 20	
Florian Hamburg Eidelstedt 2	LF-KatS (Bund)	
Florian Hamburg Eidelstedt GW-Rüst 1	GW-Rüst 1	
F 1933 FF- Schnelsen	Oldesloer Str. 34	22457 Hamburg
Florian Hamburg Schnelsen 1	HLF 20 n.B. 	neues HLF n.B. seit 04/2021
Florian Hamburg Schnelsen 2	LF-Kats (HH) niedrige Bauart	
F 1934 FF- Niendorf	Fuhlsbütteler Weg 5	22523 Hamburg
Florian Hamburg Niendorf 1	LF 16/12	
Florian Hamburg Niendorf 2	LF-KatS (HH)	
F 1935 FF- Lokstedt	Vogt-Wells-Straße 13	22529 Hamburg
Florian Hamburg Lokstedt 1	HLF 20	
Florian Hamburg Lokstedt 2	LF-KatS (HH)	
Florian Hamburg Lokstedt Schlauchwagen	SW-KatS	 
F 1937 FF- Eimsbüttel	Kieler Str. 204	22525 Hamburg
Florian Hamburg Eimsbüttel 1	LF 16/12	
Florian Hamburg Eimsbüttel 2	LF-KatS (HH)	
Florian Hamburg Eimsbüttel GW-FM	GW-FM
F 1938 FF- Pöseldorf	Schröderstiftstraße 13	20146 Hamburg
Florian Hamburg Pöseldorf 1	LF 16/12	
Florian Hamburg Pöseldorf 2	LF 16-KatS (HH)	
Florian Hamburg Pöseldorf Dekon-P	Dekon-LKW-P	
Florian Hamburg Pöseldorf KB	KLB Typ 1	
		
Bereichsführer Nord (F195)		
Florian Hamburg Bereichsführer Nord	Kdow	Opel Astra FF Langenhorn
F 1951 FF- Eppendorf	Maienweg 119	22297 Hamburg
Florian Hamburg Eppendorf 1	LF KatS (Bund)	
Florian Hamburg Eppendorf GKW	GKW 1	
Florian Hamburg Eppendorf GW-Rüst 3	GW-Rüst 3	
Florian Hamburg Eppendorf LiMa	FwA-LiMa	
F 1952 FF- Fuhlsbüttel	Fuhlsbütteler Damm 115	22335 Hamburg
Florian Hamburg Fuhlsbüttel 1	HLF 20	
Florian Hamburg Fuhlsbüttel 2	LF 16-KatS (HH)	
Florian Hamburg Fuhlsbüttel GW-Rüst 1	GW-Rüst 1	
Florian Hamburg Fuhlsbüttel KB-RTB		
F 1953 FF- Langenhorn Nord	Neubergerweg 158	22417 Hamburg
Florian Hamburg Langenhorn-Nord 1	LF 16/12	
Florian Hamburg Langenhorn-Nord 2	LF-KatS (HH)	
Sonderkomponente Dekon vorgesehen aber aktuell kein Fahrzeug		
F 1954 FF- Groß Borstel	Geschwister-Beschütz-Bogen 20	22335 Hamburg
Florian Hamburg Groß Borstel 1	LF 16/12	
Florian Hamburg Groß Borstel 2	LF-KatS (HH)	
Florian Hamburg Groß Borstel GW-RD (a.D.)		seit 08/19 bei der BF als 16-GW-BHP
F 1955 FF- Alsterdorf	Maienweg 119	22297 Hamburg
Florian Hamburg Alsterdorf 1	HLF 20	
Florian Hamburg Alsterdorf 2	LF-KatS (HH)	
Florian Hamburg Alsterdorf Dekon-P2	Dekon-P2	
F 1956 FF- Langenhorn	Tangstedter Landstraße 139	22415 Hamburg
Florian Hamburg Langenhorn 1	LF 16/12	
Florian Hamburg Langenhorn 2	LF-KatS (HH)	
		
Bereichsführer Wandsbek (F291)		
Florian Hamburg Bereichsführer Wandsbek	Kdow	Opel Astra
F 2911 FF- Berne	Kuhkoppel 24	22159 Hamburg
Florian Hamburg Berne 1	HLF 20	
Florian Hamburg Berne 2	LF-KatS (HH)	
F 2912 FF- Farmsen	Berner Heerweg 151	22159 Hamburg
Florian Hamburg Farmsen 1	LF 16/12	
Florian Hamburg Farmsen 2	LF-KatS (HH)	
F 2913 FF- Oldenfelde- Siedlung	Bekassinenau 30c	22147 Hamburg
Florian Hamburg Oldenfelde-Siedlung 1	HLF 20	 
Florian Hamburg Oldenfelde-Siedlung 2	LF-KatS (HH)	
F 2914 FF- Oldenfelde	Bargteheider Str. 165	22143 Hamburg
Florian Hamburg Oldenfelde 1	LF 16/12	
Florian Hamburg Oldenfelde 2	LF-KatS (HH) niedrige Bauart	
Florian Hamburg Oldenfelde RW	RW 1	
F 2915 FF- Meiendorf	Lofotenstraße 10	22145 Hamburg
Florian Hamburg Meiendorf 1	LF 16/12	
Florian Hamburg Meiendorf 2	LF-Kats (Bund)	
F 2916 FF- Rahlstedt	Brockdorffstr. 22	22149 Hamburg
Florian Hamburg Rahlstedt 1	LF 16/12 niedrige Bauart	neues HLF n.b. seit 02/2021
Florian Hamburg Rahlstedt 2	LF-KatS (HH) niedrige Bauart	 
F 2917 FF- Tonndorf	Jenfelder Allee 75	22045 Hamburg
Florian Hamburg Tonndorf 1	HLF 20	
Florian Hamburg Tonndorf 2	LF-KatS (HH)	
F 2918 FF- Wandsbek-Marienthal	Am Neumarkt 30	22041 Hamburg
Florian Hamburg Wandsbek-Marienthal 1	LF 16/12	
Florian Hamburg Wandsbek-Marienthal 2	LF-KatS (HH)	
Florian Hamburg Wandsbek-Marienthal GW-FM	GW-FM	
Florian Hamburg Wandsbek-Marienthal FwA-FüLa		Führung und Lage
		
Bereichsführer Alstertal (F292)		
Florian Hamburg Bereichsführer Alstertal	Kdow	Opel Astra
F 2921 FF- Bramfeld	Ellernreihe 139	22179 Hamburg
Florian Hamburg Bramfeld 1	HLF 20	
Florian Hamburg Bramfeld 2	LF-KatS (HH)	
Florian Hamburg Bramfeld Dekon-P		
Florian Hamburg Bramfeld Kleinboot-RTB		
F 2922 FF- Wellingsbüttel	Schulteßdamm 18	22391 Hamburg
Florian Hamburg Wellingsbüttel 1	LF 16/12	
Florian Hamburg Wellingsbüttel 2	LF-KatS (Bund)	
Florian Hamburg Wellingsbüttel ErkW	CBRN-ErkW	
F 2923 FF- Poppenbüttel	Rehmbrook 4	22399 Hamburg
Florian Hamburg Poppenbüttel 1	HLF 20	
Florian Hamburg Poppenbüttel 2	LF-KatS (HH)	
Florian Hamburg Poppenbüttel Kleinboot-RTB		
F 2924 FF- Hummelsbüttel	Stiegstück 2	22339 Hamburg
Florian Hamburg Hummelsbüttel 1	HLF 20	
Florian Hamburg Hummelsbüttel 2	LF-KatS (HH)	
F 2925 FF- Sasel	Saseler Parkweg 1	22393 Hamburg
Florian Hamburg Sasel 1	LF 16/12	
Florian Hamburg Sasel 2	LF KatS (Bund)	
F 2926 FF- Barmbek	Holzmühlenstraße 88	22041 Hamburg
Florian Hamburg Barmbek 1	LF 16/12	
Florian Hamburg Barmbek 2	LF-KatS (HH)	
Florian Hamburg Barmbek SW-KatS		
F 2928 FF- Winterhude	Wiesendamm 36	22303 Hamburg
Florian Hamburg Winterhude 1	HLF 20	 
Florian Hamburg Winterhude 2	LF-KatS (HH)	
Florian Hamburg Winterhude Kleinboot-RTB		
		
Bereichsführer Walddörfer (F293)		
Florian Hamburg Bereichsführer Walddörfer	Kdow	Opel Astra
F 2931 FF- Volksdorf	Vörn Barkholt 9	22359 Hamburg
Florian Hamburg Volksdorf 1	HLF 20	
Florian Hamburg Volksdorf 2	LF-KatS (HH)	
F 2932 FF- Bergstedt	Rodenbeker Str. 30	22395 Hamburg
Florian Hamburg Bergstedt 1	HLF 20	
Florian Hamburg Bergstedt 2	LF-KatS (HH)	
F 2933 FF- Lemsahl- Mellingstedt	Bilenbarg 3	22397 Hamburg
Florian Hamburg Lemsahl- Mellingstedt 1	LF 16/12	
Florian Hamburg Lemsahl- Mellingstedt 2	LF KatS (Bund)	
Florian Hamburg Lemsahl- Mellingstedt GW-VERS	GW-Versorgungslogistik	T2 Vario 818D
Florian Hamburg Lemsahl- Mellingstedt FwA-FKH	Feldkochherd	
F 2934 FF- Duvenstedt	Poppenbüttler Chaussee 17	22397 Hamburg
Florian Hamburg Duvenstedt 1	LF 16/12	
Florian Hamburg Duvenstedt 2	LF-KatS (Bund)	
Florian Hamburg Duvenstedt GW-Rüst 1		
Florian Hamburg Duvenstedt Kleinboot-RTB		
F 2935 FF- Wohldorf	Herrenhausallee 42	22397 Hamburg
Florian Hamburg Wohldorf 1	HLF 20	
Florian Hamburg Wohldorf 2	LF-KatS (HH)	
Florian Hamburg Wohldorf KB	Kleinboot	
F 2936 FF- Ohlstedt	Alte Dorfstraße 4	22397 Hamburg
Florian Hamburg Ohlstedt 1	HLF 20	
Florian Hamburg Ohlstedt 2	LF-KatS (Bund)	
		
Bereichsführer Bergedorf (F294)		
Florian Hamburg Bereichsführer Bergedorf	Kdow	Skoda Octavia
F 2941 FF- Bergedorf	Chrysanderstr. 2d	21029 Hamburg
Florian Hamburg Bergedorf 1	HLF 20	
Florian Hamburg Bergedorf 2	LF-KatS (HH)	
Florian Hamburg Bergedorf ErkW	CBRN-ErkW	
Florian Hamburg Bergedorf Kleinboot-RTB		
F 2942 FF- Nettelnburg	Nettelnburger Str. 48	21035 Hamburg
Florian Hamburg Nettelnburg 1	HLF n.B.	neues HLF n.B. seit 04/2021
Florian Hamburg Nettelnburg 2	LF-KatS (HH)	
Florian Hamburg Nettelnburg Kleinboot-RTB		
F 2943 FF- Lohbrügge	Lohbrügger Markt 3	21031 Hamburg
Florian Hamburg Lohbrügge 1	LF 16/12	
Florian Hamburg Lohbrügge 2	LF-KatS (Bund)	
Florian Hamburg Lohbrügge ErkW	CBRN-ErkW	
Florian Hamburg Lohbrügge KB	Kleinboot	
F 2944 FF- Boberg	Am Langberg 76	21033 Hamburg
Florian Hamburg Boberg 1	HLF n.B.	neues HLF n.B. seit 04/2021
Florian Hamburg Boberg 2	LF-KatS (Bund)	
Florian Hamburg Boberg Kleinboot-RTB		
F 2945 FF- Kirchsteinbek	Brockhausweg 15	22117 Hamburg
Florian Hamburg Kirchsteinbek 1	LF 16/12	
Florian Hamburg Kirchsteinbek 2	LF-KatS (Bund)	
F 2946 FF- Öjendorf	Reinskamp 40	22117 Hamburg
Florian Hamburg Öjendorf 1	LF 16/12	
Florian Hamburg Öjendorf 2	LF-KatS (HH)	
Florian Hamburg Öjendorf GW Rüst 1		
Florian Hamburg Öjendorf KLB Typ 2		
F 2947 FF- Bille	Chrysanderstraße 2d	21029 Hamburg
Florian Hamburg Bille 1	LF 16/12	
Florian Hamburg Bille 2	LF-KatS (Bund)	
Florian Hamburg Bille GW-FM		
Florian Hamburg Bille FwA-FüLa (Führung und Lage)		
F 2948 FF- Billstedt-Horn	Bergmannring 4	22119 Hamburg
Florian Hamburg Billstedt-Horn 1	HLF 20 	
Florian Hamburg Billstedt-Horn 2	LF-KatS (HH)	
Florian Hamburg Billstedt-Horn GW-Rüst 1	GW-Rüst 1	 
		
Bereichsführer Vierlande (F295)		
Florian Hamburg Bereichsführer Vierlande	Kdow	Opel Astra
F 2951 FF- Curslak	Curslacker Deich 177a	21039 Hamburg
Florian Hamburg Curslack 1	HLF 20	
Florian Hamburg Curslack 2	LF-Kats (HH)	
Florian Hamburg Curslack Dekon-P	Dekon-P	
Florian Hamburg Curslack RTB	Kleinboot-RTB	
F 2952 FF- Altengamme	Gammer Weg 49	21039 Hamburg
Florian Hamburg Altengamme 1	HLF 20	
Florian Hamburg Altengamme 2	LF-KatS (HH)	
Florian Hamburg Altengamme GW-Rüst 1		
Florian Hamburg Altengamme KLB	Klein(lösch)boot KLB Typ 1	
F 2953 FF- Neuengamme	Neuengammer Hausdeich 217	21039 Hamburg
Florian Hamburg Neuengamme 1	HLF 20	
Florian Hamburg Neuengamme 2	LF-KatS (HH)	
Florian Hamburg Neuengamme KLB	Kleinlöschboot Typ 2	
F 2954 FF- Krauel	Kirchwerder Marschbahndamm 259	21037 Hamburg
Florian Hamburg Krauel 1	LF 16/12	
Florian Hamburg Krauel 2	LF-KatS (HH)	
Florian Hamburg Krauel GW-VERS	GW-Versorgungslogistik	T2 Vario 818D
Florian Hamburg Krauel FwA-FKH	Feldkochherd	
Florian Hamburg Krauel KLB	Kleinboot Typ 1	
F 2955 FF- Kirchwerder-Süd	In de Wisch 29	21037 Hamburg
Florian Hamburg Kirchwerder-Süd 1	HLF 20	
Florian Hamburg Kirchwerder-Süd 2	LF-Kats (HH) niedrige Bauart	
Florian Hamburg Kirchwerder-Süd KB	Kleinboot Typ 1	
F 2956 FF- Kirchwerder-Nord	Norderquerweg 1	21037 Hamburg
Florian Hamburg Kirchwerder-Nord 1	LF 16/12 niedrige Bauart	
Florian Hamburg Kirchwerder Nord 2	LF-Kats (HH) niedrige Bauart	
Florian Hamburg Kirchwerder Nord Kleinboot-RTB		
F 2957 FF- Warwisch	Durchdeich 62	21037 Hamburg
Florian Hamburg Warwisch 1	LF-KatS (Bund)	
Florian Hamburg Warwisch GKW	GKW 1	
Florian Hamburg Warwisch GW-Rüst 3	GW-Rüst 3	
Florian Hamburg Warwisch LiMa- FwA-LiMa		
Florian Hamburg Warwisch KB	KB Typ 2	
mehrere Anhänger der SEPCON	Ölseparationsanlage	
		
Bereichsführer Marschlande (F296)		
Florian Hamburg Bereichsführer Marschlande	Kdow	Opel Astra
F 2961 FF Allermöhe-Billwerder	Allermöher Deich 111 	21037 Hamburg 
Florian Hamburg Allermöhe-Billwerder 1	LF 16/12	
Florian Hamburg Allermöhe-Billwerder 2	LF-KatS (Bund)	
Florian Hamburg Allermöhe-Billwerder KB	KLB Typ 2	
F 2963 FF- Reitbrook	Vorderdeich 128	21037 Hamburg
Florian Hamburg Reitbrook 1	LF 16/12	
Florian Hamburg Reitbrook 2	LF-KatS (HH) niedrige Bauart	 
Florian Hamburg Reitbrook KB	KLB Typ 2	
F 2964 FF- Hohendeich	Ochsenwerder Elbdeich 325	21037 Hamburg
Florian Hamburg Hohendeich 1	HLF 20	
Florian Hamburg Hohendeich 2	LF-KatS (Bund)	
Florian Hamburg Hohendeich Kleinboot-RTB		
Florian Hamburg Hohendeich Klein(lösch)boot KLB Typ 2		
F 2965 FF- Neudorf	Elversweg 46b	21037 Hamburg
Florian Hamburg Neudorf 1	LF 16/12	
Florian Hamburg Neudorf 2	LF-KatS (HH)	
Florian Hamburg Neudorf GW-Rüst 1		
Florian Hamburg Neudorf Klein(lösch)boot KLB Typ 1		
F 2966 FF- Spadenland	Ruschorter Hauptdeich	21037 Hamburg
Florian Hamburg Spadenland 1	LF 16/12		
Florian Hamburg Spadenland 2	LF-KatS (HH)		
Florian Hamburg Spadenland Klein(lösch)boot KLB Typ 1		
F 2967 FF- Moorfleet	Sandwisch 83	22113 Hamburg
Florian Hamburg Moorfleet 1	HLF 20	
Florian Hamburg Moorfleet 2	LF-KatS (Bund)	
Florian Hamburg Moorfleet KB	Klein(lösch)boot KLB Typ 2	
F 2968 FF- Fünfhausen	Durchdeich 62	21037 Hamburg
Florian Hamburg Fünfhausen 1	LF 16/12	
Florian Hamburg Fünfhausen 2	LF-KatS (Bund)	
Florian Hamburg Fünfhausen SW	SW-KatS	
Florian Hamburg Fünfhausen KB	KLB Typ 1	
F 2969 FF- Berliner Tor	Bergmannring 6	22119 Hamburg
Florian Hamburg Berliner Tor 1	LF 16/12	
Florian Hamburg Berliner Tor GW-FM		
		
Bereichsführer Harburg (F391)		
Florian Hamburg Bereichsführer Harburg	Kdow	Skoda Octavia
F 3911 FF- Kirchdorf	Bei der Windmühle 61	21109 Hamburg
Florian Hamburg Kirchdorf 1	HLF 20	
Florian Hamburg Kirchdorf 2	LF-KatS (HH)	
Florian Hamburg Kirchdorf KLB	Klein(lösch)boot KLB Typ 2	 
F 3912 FF- Moorwerder	Bauernstegel 1	21109 Hamburg 
Florian Hamburg Moorwerder 1	HLF 20	
Florian Hamburg Moorwerder 2	LF-KatS (HH)	
Florian Hamburg Moorwerder KLB	Klein(lösch)boot KLB Typ 1	 
F 3913 FF- Neuland	Neuländer Elbdeich 245	21079 Hamburg 
Florian Hamburg Neuland 1	LF 16/12	
Florian Hamburg Neuland 2	LF-KatS (Bund)	
Florian Hamburg Neuland KLB	Klein(lösch)boot KLB Typ 1	 
F 3914 FF- Rönneburg	Küsterstieg 1	21079 Hamburg 
Florian Hamburg Rönneburg 1	HLF 20 n.B.	neues HLF n.B. seit 04/2021
Florian Hamburg Rönneburg 2	LF-KatS (HH)	
Florian Hamburg Rönneburg GW-RD (a.D.)		Seit 09/19 wieder bei der BF als 31 GW-BHP 
F 3915 FF- Sinstorf	Beckedorfer Str. 1	21077 Hamburg 
Florian Hamburg Sinstorf 1	LF 16/12	
Florian Hamburg Sinstorf 2	LF-KatS (HH)	
Florian Hamburg Sinstorf ErkW	CBRN ErkW	
F 3916 FF- Marmstorf	Elfenwiese 6	21077 Hamburg 
Florian Hamburg Marmstorf 1	LF 16/12	 
Florian Hamburg Marmstorf 2	LF-KatS (Bund)	
Florian Hamburg Marmstorf GW-Rüst 1		
F 3917 FF- Rothenburgsort-Veddel	Billhorner Kanalstr. 45	20539 Hamburg
Florian Hamburg Rothenburgsort-Veddel 1	LF 16/12	
Florian Hamburg Rothenburgsort-Veddel 2	LF-KatS (HH)	
Florian Hamburg Rothenburgsort-Veddel KLB	Klein(lösch)boot KLB Typ 1	
F 3918 FF- Wilhelmsburg	Rotenhäuserstr. 73 a	21107 Hamburg
Florian Hamburg Wilhelmsburg 1	HLF 20	
Florian Hamburg Wilhelmsburg 2	LF-KatS (HH)	
		
Bereichsführer Süderelbe (F392)		
Florian Hamburg Bereichsführer Süderelbe	Kdow	Opel Astra
F 3921 FF- Hausbruch	Rehrstieg 1	21149 Hamburg
Florian Hamburg Hausbruch 1	HLF 20	
Florian Hamburg Hausbruch 2	LF-KatS (Bund)	
Florian Hamburg Hausbruch Dekon-P		Steht an F36 
F 3922 FF- Harburg	Helmsweg 30	21079 Hamburg (Neubau zum 01.04.2020 bezogen)
Florian Hamburg Harburg 1	LF 16/12	
Florian Hamburg Harburg 2	LF-KatS (HH)	
Florian Hamburg Harburg GW-FM		
Florian Hamburg Harburg FwA-FüLa		Führung und Lage
F 3923 FF- Moorburg	Moorburger Elbdeich 221	21079 Hamburg
Florian Hamburg Moorburg 1	LF 16/12 niedrige Bauart	 
Florian Hamburg Moorburg 2	LF-Kats (HH) niedrige Bauart	
Florian Hamburg Moorburg GW-Rüst 1	GW-Rüst 1	
Florian Hamburg Moorburg Kleinboot	KLB Typ 1	
F 3924 FF- Neugraben	In de Krümm 50	21147 Hamburg
Florian Hamburg Neugraben 1	HLF 20 n.B.	neues HLF n.B. seit 04/2020
Florian Hamburg Neugraben 2	LF-KatS (HH)	
F 3925 FF- Fischbek	Fischbeker Weg 28	21149 Hamburg
Florian Hamburg Fischbek 1	LF 16/12	
Florian Hamburg Fischbek 2	LF-KatS (Bund)	
F 3926 FF- Eißendorf	Stader Straße 27	21075 Hamburg
Florian Hamburg Eißendorf 1	HLF 20	
Florian Hamburg Eißendorf 2	LF-KatS (HH)	
Florian Hamburg Eißendorf GW-VERS	GW-Versorgung	
Florian Hamburg Eißendorf FwA-FKH	Feldkochherd	
		
Bereichsführer Unterelbe (F393)		
Florian Hamburg Bereichsführer Unterelbe	Kdow	Skoda Octavia
F 3931 FF- Finkenwerder	Doggerbankweg 1	21129 Hamburg
Florian Hamburg Finkenwerder 1	HLF 20	
Florian Hamburg Finkenwerder 2	LF-KatS (HH)	
Florian Hamburg Finkenwerder KB	Klein(lösch)boot KLB Typ 1	
Florian Hamburg Finkenwerder Kleinboot-RTB		
F 3932 FF- Francop	Hohenwischer Straße 89	21129 Hamburg
Florian Hamburg Francop 1	LF 16/12	
Florian Hamburg Francop 2	LF-KatS (Bund)	
Florian Hamburg Francop SW 2000-Tr		
Florian Hamburg Francop Kleinboot-RTB		
F 3933 FF- Neunefelde-Nord	Arp-Schnitger-Stieg 39	21129 Hamburg
Florian Hamburg Neuenfelde-Nord 1	HLF 20	
Florian Hamburg Neuenfelde-Nord 2	LF-KatS (HH)	
Florian Hamburg Neuenfelde-Nord KB	Klein(lösch)boot KLB Typ 1	
F 3934 FF- Cranz	Estedeich 111	21129 Hamburg
Florian Hamburg Cranz 1	HLF 20	
Florian Hamburg Cranz 2	LF-KatS (HH)	
Florian Hamburg Cranz GW-Rüst 1		
Florian Hamburg Cranz Klein(lösch)boot KLB Typ 1		
F 3935 FF- Neuenfelde-Süd	Nincoper Straße 147 c	21129 Hamburg
Florian Hamburg Neuenfelde-Süd 1	HLF 20	
Florian Hamburg Neuenfelde-Süd 2	LF-KatS (HH)	
Florian Hamburg Neuenfelde-Süd KB	Kleinboot KB	
F 3936 FF- Neuwerk	Insel Neuwerk	27499 Insel Neuwerk/Cuxhaven
Florian Hamburg Neuwerk Rüst-Lösch-Fahrzeug RLF		
Florian Hamburg Neuwerk Kleinboot KB		
Florian Hamburg Neuwerk Rettungswagen RTW		 
		