Station Code / Callsign,Station Name / Unit-Type,Address,Comments
,,MV,MV 13-T - 2020 MAN TGE 3.180 (#DE70 VSX)
,,,
F44,East Ham,210 High Street South,Built 1960
F441,DPL,,DPL 228 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FGX)
F446,FRU,,FRU 42 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WX71 VJV)
F44S,ORV,,Station Manager
USAR Support Carrier,,,UVL03-4 - 2019 MAN TGE 4.180
Prime Mover 109,PM,,PM 109 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VOU)
Prime Mover 124,PM,,PM 124 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VPT)
USAR1 003,Structural Collapse Pod,,
USAR2 003,Major Transport Pod,,
USAR3 014,Support Pod,,
USAR4 012,Multi-Purpose Vehicle Pod,,
USAR5 010,Timber Pod,,
,,,
F45,Plaistow,145 Prince Regent Lane,Built 2014
F451,DPL,,DPL 315 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 AOG)
F45S,ORV,,Station Manager
CU3,CSU,,CSU 14 - 2023 Optare Solo SR / WH Bence (#LK23 CXN)
,,,
F57,Harold Hill,"Units 8&9, Falcon Business Centre, Ashton Road",
F571,DPL,,DPL 204 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 JFE)
F57S,ORV,,Station Manager
,,,
Western Command (G),,,
G21,Harrow,500 Pinner Road,Built 1937
G211,DPL,,DPL 310 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHH)
G217,HDU,,HDU 3 - 2022 Scania L320 B6X2 4NB / Emergency One (#EX22 HLM)
,FLT,,FLT 06 - 2022 Moffett Mounty Forklift
G219,HLU,,HLU 1 - 2010 Mercedes Benz Atego 1626 (#WP10 HLG)
G21S,ORV,,CEV 45 - 2023 Volkswagen ID3 Life Pro (#LS23 URV)
,DPL,,DPL 160 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JUY) (Ex-A401)
,DPL,,DPL 159 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVA)
,DPL,,DPL 158 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVC)
,DPL,,DPL 157 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVD)
,DPL,,DPL 156 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVE)
,DPL,,DPL 155 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVF)
,DPL,,DPL 154 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVG)
,DPL,,DPL 153 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVH)
,DPL,,DPL 152 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVJ)
,FRU,,FRU 27 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WR21 THU)
,UVM,,UVM 04 - 2019 MAN TGI 3.140 (#DF19 YUR)
,,,
G22,Stanmore,650 Honeypot Lane,Built 1960
G221,DPL,,DPL 223 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FDP)
G222,DPL,,DPL 270 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 HZY)
G22S,ORV,,Station Manager
Prime Mover 092,PM,,PM 092 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VNW)
MDR 006,Mass Decontamination Rerobe Pod,,
MDD 016,Mass Decontamination Disrobe Pod,,
G23,Hillingdon,3-4 Uxbridge Road,Built 1964
G231,DPL,,DPL 249 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TJV)
G232,DPL,,DPL 293 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZBE)
G23S,ORV,,Station Manager
,,,
G24,Southall,17-19 High Street,Built 1964
G241,DPL,,DPL 211 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBC)
G242,DPL,,DPL 258 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JLX)
G24S,ORV,,Station Manager
,,,
G25,Ealing,60-64 Uxbridge Road,Built 1933
G251,DPL,,DPL 298 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZFH)
G25A,OSU,,OSU 5 - 2007 Mercedes Benz Atego 1223 / Emergency One (#AE07 HXN)
G25S,ORV,,Station Manager
,,,
G26,Acton,27 Gunnersbury Lane,Built 1938
G261,DPL,,DPL 235 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU68 LWO)
G26S,ORV,,Station Manager
,,,
G27,North Kensington,242 Ladbroke Grove,Built 1986
G271,DPL,,DPL 338 - 2021 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFY)
G272,DPL,,DPL 273 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TSY)
G27S,ORV,,Station Manager
,,,
G28,Willesden,9A Pound Lane,Built 1934
G281,DPL,,DPL 306 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHD)
G28S,ORV,,Station Manager
,,,
G29,Park Royal,15 Waxlow Road,Built 1958
G291,DPL,,DPL 199 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HMG)
G29S,ORV,,Station Manager
CU7,CSU,,CSU 16 - 2023 Optare Solo / WH Bence (#LX23 DXV)
,MV,,MV 08-T - 2020 MAN TGE 3.180 (#DE70 VSO)
,MV,,MV 12-T - 2020 MAN TGE 3.180 (#DE70 VSV)
,UV,,UV 04 - 2019 Ford Transit Connect 230 (#LD69 WHR)
,,,
G30,Wembley,591A Harrow Road,Built 1939
G301,DPL,,DPL 227 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FGV)
G302,DPL,,DPL 262 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JNF)
G303,TL,,TL 63A - Scania L360 Turntable Ladder / Emergency One / Magirus M32L-AS (2400/-/32M) (#EY70 YXU)
G306,FRU,,FRU 34 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WM21 FRJ)
G30S,ORV,,Station Manager
,,,
G31,Northolt,74 Petts Hill,Built 1959
G311,DPL,,DPL 202 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HMK)
G312,DPL,,DPL 290 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 YWF)
G31S,ORV,,Station Manager
,,,
G32,Ruislip,Bury Street,Built 1964
G321,DPL,,DPL 330 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFP)
G32S,ORV,,Station Manager
Prime Mover 010,PM,,PM 010 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VLV)
Prime Mover 040,PM,,PM 040 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VKJ)
HVP DC44HA,High Volume Pump Pod,,
G33,Kensington,13 Old Court Place,Built 1904
G331,DPL,,DPL 222 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FDO)
G33S,ORV,,Station Manager
,,,
G34,Chelsea,264 King's Road,Built 1965
G341,DPL,,DPL 297 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZFF)
G346,FRU,,FRU 32 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WP21 ZPU)
G34S,ORV,,Station Manager
,,,
G35,Fulham,685 Fulham Road,Built 1895
G351,DPL,,DPL 317 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFA)
G35S,ORV,,Station Manager
,,,
G36,Hammersmith,190-192 Shepherds Bush Road,Built 2003
G361,DPL,,DPL 214 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBF)
G362,DPL,,DPL 280 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TYB)
G36S,ORV,,Station Manager
,,,ZEPA 01 - 2023 Volvo EVO 1 / Emergency One (?/1750/100F)
G37,Chiswick,2-4 Heathfield Gardens,Built 1963
G371,DPL,,DPL 326 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP70 BPO)
G37S,ORV,,Station Manager
,,,
G38,Heston,520 London Road,Built 1936
G381,DPL,,DPL 252 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TJZ)
G382,DPL,,DPL 294 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZBF)
G386,FRU,,FRU 35 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WM21 FRO)
G38S,ORV,,Station Manager
,,,
G39,Feltham,101 Faggs Road,Built 1960
G391,DPL,,DPL 215 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBG)
G392,DPL,,DPL 274 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TSZ)
G39S,ORV,,Station Manager
,,,
G40,HayeS,65 Shepiston Lane,Built 1959
G401,DPL,,DPL 314 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZYC)
G403,TL,,TL 62A - 2020 Scania L360 Turntable Ladder / Emergency One / Magirus M32L-AS (2400/-/32M) (#EY70 YXS)
G40S,ORV,,Station Manager
,,,
G56,Heathrow,"Building 450, Northern Perimeter Road",
G561,DPL,,DPL 231 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FHZ)
G56S,ORV,,Station Manager
,,,
South Western Command (H),,,
H21,Clapham,29 Old Town,
H211,DPL,,DPL 301 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZFO)
H213,TL,,TL59A - 2020 Scania L360 Turntable Ladder / Emergency One / Magirus M32L-AS (2400/-/32M) (#EY20 YMK)
H21S,ORV,,Station Manager
H21X,DIM,,DIM 009 - 007 Iveco Daily / AES (#MX56 NHD)
,DIM,,DIM 003 - 006 Iveco Daily / AES (#MX06 VBV)
,,,
H22,Lambeth,8 Albert Embankment,Built 1937
H221,DPL,,DPL 193 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HLZ)
H222,DPL,,DPL 255 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TKE)
H22S,ORV,,Station Manager
AT2,,,DIM 102 - 2023 Iveco Daily 65C18 / Emergency One (#SP73 XUE)
,,,
H23,Lambeth River,Across from Lambeth Fire Station,Built 1992
H23A,Fireboat,,ERRINGTON - 2022 Hollyhead Marine Landing Craft (2500/-)
H23B,Fireboat,,TANNER - 2022 Hollyhead Marine Landing Craft (2500/-)
H23S,ORV,,Station Manager
,,,
H24,Brixton,57 Gresham Road,Built 1906
H241,DPL,,DPL 210 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBB)
H242,DPL,,DPL 261 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JMX)
H24S,ORV,,Station Manager
,,,
H25,West Norwood,210 Knight's Hill,Built 2014
H251,DPL,,DPL 197 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HME)
H252,DPL,,DPL 277 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TTJ)
H25S,ORV,,Station Manager
,,,
H26,Addington,197 Lodge Lane,
H261,DPL,,DPL 229 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FGZ)
H262,DPL,,DPL 285 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 YWA)
H26S,ORV,,Station Manager
,,,
H27,Battersea,11 Este Road,
H271,DPL,,DPL 329 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BPY)
H276,FRU,,FRU 44 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WX71 VJZ)
H27S,ORV,,Station Manager
,USAR Support Carrier,,UVL04-4 - 2019 MAN TGE 4.180
Prime Mover 130,PM,,PM 130 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VRC)
Prime Mover 131,PM,,PM 131 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VRD)
USAR1 001,Structural Collapse Pod,,
USAR2 013,Major Transport Pod,,
USAR3 001,Support Pod,,
USAR4 013,Multi-Purpose Vehicle Pod,,
USAR5 011,Timber Pod,,
H28,Woodside,2 Long Lane,
H281,DPL,,DPL 328 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BPX)
H28S,ORV,,Station Manager
,,,
H29,Purley,128 Brighton Road,Built 2016
H291,DPL,,DPL 300 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZFM)
H29S,ORV,,Station Manager
,,,
H31,Croydon,90 Old Town,
H311,DPL,,DPL 241 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU68 LWX)
H312,DPL,,DPL 276 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TTF)
H316,FRU,,FRU ?? - 2021 Mercedes Benz Atego 1527F / Emergency One
H31S,ORV,,Station Manager
Prime Mover 117,PM,,PM 117 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VPK)
Prime Mover 118,PM,,PM 118 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VPL)
USAR1 006,Structural Collapse Pod,,
USAR2 009,Major Transport Pod,,
USAR3 009,Support Pod,,
USAR4 010,Multi-Purpose Vehicle Pod,,
USAR5 013,Timber Pod,,
,,,
H32,Norbury,1327 London Road,
H321,DPL,,DPL 209 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBA)
H322,DPL,,DPL 260 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JMV)
H32S,ORV,,Station Manager
,,,
H33,Wandsworth,45 West Hill,
H331,DPL,,DPL 305 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHC)
H33A,OSU,,OSU 2 - 007 Mercedes Benz Atego 1223 / Emergency One (#AE07 HXL)
H33S,ORV,,Station Manager
,,,
H34,Wimbledon,87 Kingston Road,
H341,DPL,,DPL 288 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX68 TGO)
H344,TL,,TL 03E - 2021 Scania P410 B8x4*4NB / Emergency One / Magirus M64L (2400/-/64M) (#EY20 YYH)
H346,FRU,,FRU 29 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WP21 ZPT)
H34S,ORV,,Station Manager
,,,
H35,Tooting,2 Roden Street,Built 1907
H351,DPL,,DPL 288 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 YWD)
H352,DPL,,DPL 226 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FGP)
H35S,ORV,,Station Manager
,,,
H36,Mitcham,421-445 London Road,Built 2014
H361,DPL,,DPL 230 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FHY)
H36S,ORV,,Station Manager
,,,
CU8,CSU,,CSU 11 - 2023 Optare Solo SR / WH Bence (#LK23 CUH)
H37,Wallington,19 Belmont Road,
H371,DPL,,DPL 320 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFJ)
H37S,ORV,,Station Manager
,,,
H38,Sutton,43 St. Dunstan's Hill Road,
H381 -,,,
H382,DPL,,DPL 272 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JFV)
H38A,OSU,,OSU 6 - 007 Mercedes Benz Atego 1223 / Emergency One (#AE07 HXP)
H38S,ORV,,Station Manager
,,,
H39,Surbiton,31-33 Ewell Road,
H391,DPL,,DPL 201 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HMJ)
H39S,ORV,,Station Manager
,,,
H40,New Malden,180 Burlington Road,
H401,DPL,,DPL 321 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFK)
H40S,ORV,,Station Manager
Prime Mover 002,PM,,PM 002 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VLM)
HVP DC02,High Volume Pump Pod,,
,,,
H41,Kingston,390 Richmond Road,
H411,DPL,,DPL 242 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU68 LWY)
H412,DPL,,DPL 286 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 YWB)
H417,HDU,,HDU 6 - 2022 Scania L320 B6X2 4NB / Emergency One (#EX22 HLN)
,FLT,,FLT 09 - 2022 Moffett Mounty Forklift
H419,HLU,,HLU 4 - 2010 Mercedes Benz Atego 1626 (#WN60 AYC)
H41S,ORV,,Station Manager
,,,
H42,Richmond,323 Lower Richmond Road,
H421,DPL,,DPL 325 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFO)
H42S,ORV,,Station Manager
CU6,CSU,,CSU 15 - 2023 Optare Solo SR / WH Bence (#LK23 DWU)
H43,Twickenham,30 South Road,
H431,DPL,,DPL 218 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBL)
H432,DPL,,DPL 269 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 HZX)
H43S,ORV,,Station Manager
Prime Mover 094,PM,,PM 094 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VNZ)
MDU 002,Mass Decontamination Unit Pod,,
,,,
,Babcock Training Centre,25 Gemini Business Park Hornet Way,
Prime Mover 034,PM,,PM 034 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VKC)
Prime Mover 044,PM,,PM 044 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VJN)
Prime Mover 097,PM,,PM 097 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VOC)
Prime Mover 110,PM,,PM 110 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VOV)
Prime Mover 125,PM,,PM 125 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VPU)
Prime Mover 147,PM,,PM 147 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VRY)
HVP DC90,High Volume Pump Pod,,
HVP DC96,High Volume Pump Pod,,
USAR1 003,Structural Collapse Pod,,
USAR2 001,Major Transport Pod,,
USAR3 001,Support Pod,,
,MV,,MV 03T - 2017 Citroen Relay 35 L3H3 Blue HDI (#LJ67 AVZ)
,MV,,MV 02T - 2017 Citroen Relay 35 L3H3 Blue HDI (#LJ67 AVY)
,,,V 337 - 2017 Ford Transit Connect Trend (#LD17 AZN)
,,,CE 789 - 2016 Ford Mondeo Zetec 1.5 TDCI (#LC16 FNH)
,,,CE 788 - 2016 Ford Mondeo Zetec 1.5 TDCI (#LC16 FLR)
,DPL,,DPL 150 - 2016 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WV16 NVY)
,,,
,Fire Service College,"London Road, Moreton-in-Marsh",
,DPL,,DPL 337 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F)
,DPL,,DPL 336 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F)
,DPL,,DPL 335 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F)
,DPL,,DPL 334 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F)
,DPL,,DPL 333 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F)
,,,
,London Operations Centre,6 Jubilee Way,
,CSU,,CSU ?? - 2023 Optare Solo SR / WH Bence
,UVM,(UVM 06 - 2019 MAN TGE 3.180 (#DF19 YUJ),
,,,
,Operations Support Centre,1 Pegasus Road,
,HDU,HDU 5 - 2022 Scania L320 B6X2 4NB / Emergency One (#EX72 NDJ),
,FLT,FLT 08 - 2022 Moffett Mounty Forklift,