Feuer- und Rettungswache 1 Innenstadt - Agrippastraße 18  50667 Köln,,
Florian Köln 01 KdoW 01,KdoW,
Florian Köln 01 HLF 01,HLF 20,
Florian Köln 01 HLF 02,HLF 20/16,
Florian Köln 01 DLK 01,DLK 23/12,
Florian Köln 01 PTLF 01,PTLF 4000,
Florian Köln 01 GW-W 01,GW-W,
Abrollbehälter Wasserrettung (AB-W),,
Florian Köln 01 NEF 01,NEF,
Florian Köln 01 RTW 01,RTW,
Florian Köln 01 RTW 02,RTW,
Florian Köln 01 RTW 03,RTW,
Florian Köln 01 RTW 04,RTW,
Florian Köln 01 RTW 07,RTW,
Florian Köln 01 RTW 08,RTW,
Florian Köln 01 RTW 09,RTW,Durch 5-15